# seed = 5, gamma = 0.66, beta = 0.0, dee = 1.0, dcc = 25.0, dec = 300.0, dsCnd = 50.0, dLocalhost = 0.02, hostBroker = CLOUD 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 8.06 0.03 376 8.06 0.03 15873 1244.95 0.35 15873 1244.95 0.35 370 23.0 0.13 370 23.0 0.13 304 6 0 304 6 0 18.9 21.0 19.28 0.65
1800.0 356 8.79 0.36 732 16.86 0.36 16159 168811.29 20.35 32032 170056.24 20.35 352 3278.96 20.35 722 3301.96 20.35 304 6 0 608 12 0 18.6 18.9 18.9 0.0
2700.0 310 7.93 0.03 1042 24.78 0.36 15812 1293.8 0.35 47844 171350.05 20.35 310 23.96 0.13 1032 3325.92 20.35 304 6 0 912 18 0 17.7 18.9 18.35 0.04
3600.0 310 7.93 0.03 1352 32.71 0.36 15814 1294.43 0.35 63658 172644.47 20.35 310 23.95 0.13 1342 3349.87 20.35 304 6 0 1216 24 0 17.6 18.9 18.23 0.05
4500.0 376 8.07 0.03 1728 40.78 0.36 15869 1292.79 0.35 79527 173937.26 20.35 370 23.99 0.13 1712 3373.86 20.35 304 6 0 1520 30 0 17.6 18.7 18.23 0.05
5400.0 356 8.8 0.36 2084 49.58 0.36 16193 7634.94 20.44 95720 181572.2 20.44 352 44.55 20.44 2064 3418.41 20.44 304 6 0 1824 36 0 17.6 18.7 18.23 0.05
6300.0 310 7.93 0.03 2394 57.51 0.36 15881 1314.61 0.35 111601 182886.82 20.44 310 24.33 0.13 2374 3442.74 20.44 304 6 0 2128 42 0 17.6 18.7 18.24 0.05
7200.0 310 7.93 0.03 2704 65.44 0.36 15880 1314.17 0.35 127481 184200.99 20.44 310 24.33 0.13 2684 3467.07 20.44 304 6 0 2432 48 0 17.6 18.7 18.26 0.04
8100.0 376 8.08 0.03 3080 73.52 0.36 15939 1319.94 0.35 143420 185520.93 20.44 370 24.48 0.13 3054 3491.55 20.44 304 6 0 2736 54 0 17.6 18.7 18.26 0.04
